code;label-fr_BE;label-en_US;label-nl_BE;allowed_extensions;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
depth;Profondeur (mm);;Diepte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;34;pim_catalog_number;0;0;;;0
total_measurement;Dimension totale (mm);;Totaalmaat (mm);;;;;0;;measurements;0;;;;0;0;;;;0;35;pim_catalog_number;0;0;;;0
overall_size;Dimension hors tout (mm);;Overmeten maat (mm);;;;;0;;measurements;0;;;;0;0;;;;0;36;pim_catalog_number;0;0;;;0
pollux_filter;Filtre Pollux;;Pollux filter;;;;;0;;technical_properties;0;;;;0;0;;;;0;1;pim_catalog_boolean;0;0;;;0
cubic_flow;Débit (m3/h);;Debiet (m³/h);;;;;0;;technical_properties;0;;;;0;0;;;;0;2;pim_catalog_number;0;0;;;0
vent_installation;Installation de la ventilation;;Installatie ventilatie;;;;;0;;technical_properties;0;;;;0;0;;;;0;3;pim_catalog_multiselect;0;0;;;0
type_window_ventilation;Type d'aérateur;;Type raamverluchting;;;;;0;;technical_properties;0;;;;0;0;;;;0;4;pim_catalog_multiselect;0;1;;;0
vent_acoustic_roof;Aérateur acoustique en toiture;;Akoustische verluchtingen voor het dak;;;;;0;;technical_properties;0;;;;0;0;;;;0;5;pim_catalog_boolean;0;0;;;0
vent_acoustic_window;Aérateur acoustique pour châssis;;Akoestische raamverluchtingen;;;;;0;;technical_properties;0;;;;0;0;;;;0;6;pim_catalog_boolean;0;0;;;0
vent_slotvent;Aérateur à  coulisse;;Schuifverluchting;;;;;0;;technical_properties;0;;;;0;0;;;;0;7;pim_catalog_boolean;0;0;;;0
vent_roller_shutter;Aérateur pour caisson de volet roulant;;Ventilatierooster voor rolluikkast;;;;;0;;technical_properties;0;;;;0;0;;;;0;8;pim_catalog_boolean;0;0;;;0
vent_dimensioning;Dimensionnement;;Dimensionering;;;;;0;;technical_properties;0;;;;0;0;;;;0;9;pim_catalog_multiselect;0;0;;;0
self_regulating;autoréglable;;Zelfregelend;;;;;0;;control;0;;;;0;0;;;;0;0;pim_catalog_boolean;0;0;;;0
color;Couleurs;;Kleuren;;;;;0;;general;0;;;;0;0;;;;0;86;pim_catalog_multiselect;0;0;;;0
thermal_interruption;Rupture de pont thermique;;Thermische onderbreking;;;;;0;;technical_properties;0;;;;0;0;;;;0;10;pim_catalog_boolean;0;0;;;0
insect_repellent;pare-insectes;;Insectenwerend;;;;;0;;general;0;;;;0;0;;;;0;87;pim_catalog_boolean;0;0;;;0
burglar_repellent;Anti-effraction;;Inbraakwerend;;;;;0;;general;0;;;;0;0;;;;0;88;pim_catalog_boolean;0;0;;;0
epb;PEB;;EPB;;;;;0;;general;0;;;;0;0;;;;0;89;pim_catalog_boolean;0;0;;;0
vent_waterproof_open;Etanchéité à  l'eau en position ouverte;;Waterdichtheid in open stand;;;;;1;;technical_properties;0;;;;0;0;;;;0;11;pim_catalog_number;0;0;;;0
system;Système;;Systeem;;;;;0;;general;0;;;;0;0;;;;0;82;pim_catalog_multiselect;0;1;;;0
u_value;Valeur U;;U-waarde;;;;;1;;technical_properties;0;;;;0;0;;;;0;12;pim_catalog_number;0;0;;;0
step_control;Réglage des positions;;Standenregeling;;;;;0;;general;0;;;;0;0;;;;0;90;pim_catalog_multiselect;0;0;;;0
